date,company,title,location,comp_count,loc_count,title_count,comp_loc,title_comp_loc
2021-09-24,Deloitte,Data Scientist,"Bengaluru, Karnataka, India",15,15,163,"Deloitte - Bengaluru, Karnataka, India","Data Scientist - Deloitte - Bengaluru, Karnataka, India"
2021-09-29,neuralclass,Data Scientist,India,1,1,163,neuralclass - India,Data Scientist - neuralclass - India
2021-09-27,Walmart Global Tech India,Data Scientist,"Bengaluru, Karnataka, India",21,21,163,"Walmart Global Tech India - Bengaluru, Karnataka, India","Data Scientist - Walmart Global Tech India - Bengaluru, Karnataka, India"
2021-09-24,Deloitte,Data Scientist,"Mumbai, Maharashtra, India",15,15,163,"Deloitte - Mumbai, Maharashtra, India","Data Scientist - Deloitte - Mumbai, Maharashtra, India"
2021-09-29,ValueLabs,Data Scientist,"Hyderabad, Telangana, India",1,1,163,"ValueLabs - Hyderabad, Telangana, India","Data Scientist - ValueLabs - Hyderabad, Telangana, India"
2021-09-29,GE Aviation,Data Scientist,"Bengaluru, Karnataka, India",2,2,163,"GE Aviation - Bengaluru, Karnataka, India","Data Scientist - GE Aviation - Bengaluru, Karnataka, India"
2021-09-17,Swiggy,Data Scientist- Operations Research,"Bengaluru, Karnataka, India",3,3,1,"Swiggy - Bengaluru, Karnataka, India","Data Scientist- Operations Research - Swiggy - Bengaluru, Karnataka, India"
2021-09-10,Walmart Global Tech India,Data Scientist,"Bengaluru, Karnataka, India",21,21,163,"Walmart Global Tech India - Bengaluru, Karnataka, India","Data Scientist - Walmart Global Tech India - Bengaluru, Karnataka, India"
2021-09-23,Ola,Data Scientist (4+years exp),"Bengaluru, Karnataka, India",2,2,1,"Ola - Bengaluru, Karnataka, India","Data Scientist (4+years exp) - Ola - Bengaluru, Karnataka, India"
2021-09-21,Walmart Global Tech India,Data Scientist - IN3,"Bengaluru, Karnataka, India",21,21,1,"Walmart Global Tech India - Bengaluru, Karnataka, India","Data Scientist - IN3 - Walmart Global Tech India - Bengaluru, Karnataka, India"
2021-09-27,Ford Motor Company,Data Scientist,"Chennai, Tamil Nadu, India",21,21,163,"Ford Motor Company - Chennai, Tamil Nadu, India","Data Scientist - Ford Motor Company - Chennai, Tamil Nadu, India"
2021-09-21,GE,Data Scientist,"Bengaluru, Karnataka, India",15,15,163,"GE - Bengaluru, Karnataka, India","Data Scientist - GE - Bengaluru, Karnataka, India"
2021-09-19,Zoomcar,Data Scientist,"Bengaluru, Karnataka, India",1,1,163,"Zoomcar - Bengaluru, Karnataka, India","Data Scientist - Zoomcar - Bengaluru, Karnataka, India"
2021-09-01,Oracle,Data Scientist,"Bengaluru, Karnataka, India",29,29,163,"Oracle - Bengaluru, Karnataka, India","Data Scientist - Oracle - Bengaluru, Karnataka, India"
2021-09-18,Intel Corporation,Data Scientist College Graduate,"Bengaluru, Karnataka, India",19,19,1,"Intel Corporation - Bengaluru, Karnataka, India","Data Scientist College Graduate - Intel Corporation - Bengaluru, Karnataka, India"
2021-09-29,Anheuser-Busch InBev,Associate Data Scientist – Analytics,"Bengaluru, Karnataka, India",10,10,3,"Anheuser-Busch InBev - Bengaluru, Karnataka, India","Associate Data Scientist – Analytics - Anheuser-Busch InBev - Bengaluru, Karnataka, India"
2021-09-01,GE,Data Scientist,"Bengaluru, Karnataka, India",15,15,163,"GE - Bengaluru, Karnataka, India","Data Scientist - GE - Bengaluru, Karnataka, India"
2021-09-28,InstantVacancy.com,Data Scientist,"Gurugram, Haryana, India",1,1,163,"InstantVacancy.com - Gurugram, Haryana, India","Data Scientist - InstantVacancy.com - Gurugram, Haryana, India"
2021-09-29,atisfy,Data Scientist,"Hyderabad, Telangana, India",1,1,163,"atisfy - Hyderabad, Telangana, India","Data Scientist - atisfy - Hyderabad, Telangana, India"
2021-09-03,Decathlon Sports India,Data Scientist,"Bengaluru, Karnataka, India",1,1,163,"Decathlon Sports India - Bengaluru, Karnataka, India","Data Scientist - Decathlon Sports India - Bengaluru, Karnataka, India"
2021-09-27,Anheuser-Busch InBev,Data Scientist – Analytics,"Bengaluru, Karnataka, India",10,10,1,"Anheuser-Busch InBev - Bengaluru, Karnataka, India","Data Scientist – Analytics - Anheuser-Busch InBev - Bengaluru, Karnataka, India"
2021-08-31,NetApp,Data Scientist,"Bengaluru, Karnataka, India",4,4,163,"NetApp - Bengaluru, Karnataka, India","Data Scientist - NetApp - Bengaluru, Karnataka, India"
